Field,0. Benchmark,1. Baseline,2. +ETN+META,3. +CUZ-CVX+IRM+LENB+OXY,4. +GT,5. -AVLR
Date,2022-01-03,2022-01-03,2022-02-16,2022-05-04,2022-05-06,2022-07-21
ACN,0,25,25,25,25,25
AVLR,0,20,20,20,20,0
BX,0,70,70,70,70,70
BAH,0,99,99,99,99,99
BAP,0,0,0,0,0,0
CUZ,0,0,0,150,150,150
CVX,0,53,53,30,30,30
ETN,0,0,30,30,30,30
META,0,0,30,30,30,30
GT,0,0,0,0,350,350
IRM,0,0,0,110,110,110
LEN,0,80,80,80,80,80
LEN-B,0,0,0,80,80,80
MTZ,0,90,90,90,90,90
OXY,0,0,0,100,100,100
PGNY,0,150,150,150,150,150
QRVO,0,50,50,50,50,50
SQ,0,0,0,0,0,0
SPY,159,19,4,4,4,4
MDY,113,108,98,58,51,55
VOO,27,27,27,27,27,27
